sale_date,DayOfWeek,product_id,customer_id,region,category,sale_amount_sum,sale_amount_mean,transaction_id_count,transaction_id
2024-08-14,Wednesday,107,1011,East,Clothing,201.06,201.06,1,[628]
2024-08-21,Wednesday,104,1007,South,Clothing,172.4,172.4,1,[630]
2024-08-21,Wednesday,107,1002,East,Clothing,268.08,268.08,1,[631]
2024-08-25,Sunday,104,1002,East,Clothing,258.6,258.6,1,[633]
2024-08-25,Sunday,108,1006,South,Electronics,75.36,75.36,1,[632]
2024-08-28,Wednesday,105,1006,South,Sports,39.56,39.56,1,[634]
2024-08-28,Wednesday,106,1005,North,Electronics,177.96,177.96,1,[635]
2024-09-05,Thursday,107,1005,North,Clothing,1072.32,1072.32,1,[636]
2024-09-05,Thursday,107,1007,South,Clothing,1072.32,1072.32,1,[637]
2024-09-22,Sunday,101,1001,East,Electronics,6344.96,6344.96,1,[638]
2024-09-22,Sunday,104,1007,South,Clothing,689.6,689.6,1,[639]
2024-09-30,Monday,103,1010,East,Electronics,45.52,45.52,1,[641]
2024-09-30,Monday,107,1005,North,Clothing,268.08,268.08,1,[640]
2024-10-10,Thursday,101,1002,East,Electronics,5551.84,5551.84,1,[642]
2024-10-10,Thursday,104,1010,East,Clothing,301.7,301.7,1,[643]
